ts,phase57_core,phase57_lock_a,phase57_lock_b,phase57_lock_c,phase57_lock_d,phase57_lock_e,phase57_lock_f
2018-06-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-25,0.9942655826558267,0.9942655826558267,0.9942655826558267,0.9942655826558267,0.9942655826558267,0.9942655826558267,0.9942655826558267
2019-03-26,1.0390827929643474,1.0390827929643474,1.0390827929643474,1.0390827929643474,1.0390827929643474,1.0390827929643474,1.0390827929643474
2019-03-27,1.0231853674209475,1.0231853674209475,1.0231853674209475,1.0231853674209475,1.0231853674209475,1.0231853674209475,1.0231853674209475
2019-03-28,1.0083777114026324,1.0083777114026324,1.0083777114026324,1.0083777114026324,1.0083777114026324,1.0083777114026324,1.0083777114026324
2019-03-29,1.0384479358970033,1.0384479358970033,1.0384479358970033,1.0384479358970033,1.0384479358970033,1.0384479358970033,1.0384479358970033
2019-03-30,1.0733962326327777,1.0733962326327777,1.0733962326327777,1.0733962326327777,1.0733962326327777,1.0733962326327777,1.0733962326327777
2019-03-31,1.0948915773150965,1.0948915773150965,1.0948915773150965,1.0948915773150965,1.0948915773150965,1.0948915773150965,1.0948915773150965
2019-04-01,1.2066955241578967,1.2066955241578967,1.2066955241578967,1.2066955241578967,1.2066955241578967,1.2066955241578967,1.2066955241578967
2019-04-02,1.3352493026305898,1.3352493026305898,1.3352493026305898,1.3352493026305898,1.3352493026305898,1.3352493026305898,1.3352493026305898
2019-04-03,1.3631402691367935,1.3631402691367935,1.3631402691367935,1.3631402691367935,1.3631402691367935,1.3631402691367935,1.3631402691367935
2019-04-04,1.3610955587330884,1.3610955587330884,1.3610955587330884,1.3610955587330884,1.3610955587330884,1.3610955587330884,1.3610955587330884
2019-04-05,1.3385872642177488,1.3385872642177488,1.3385872642177488,1.3385872642177488,1.3385872642177488,1.3385872642177488,1.3385872642177488
2019-04-06,1.3300116599456888,1.3300116599456888,1.3300116599456888,1.3300116599456888,1.3300116599456888,1.3300116599456888,1.3300116599456888
2019-04-07,1.2616173561523196,1.2616173561523196,1.2616173561523196,1.2616173561523196,1.2616173561523196,1.2616173561523196,1.2616173561523196
2019-04-08,1.2841230541068995,1.2841230541068995,1.2841230541068995,1.2841230541068995,1.2841230541068995,1.2841230541068995,1.2841230541068995
2019-04-09,1.2988044197461217,1.2988044197461217,1.2988044197461217,1.2988044197461217,1.2988044197461217,1.2988044197461217,1.2988044197461217
2019-04-10,1.246167237555073,1.246167237555073,1.246167237555073,1.246167237555073,1.246167237555073,1.246167237555073,1.246167237555073
2019-04-11,1.2442979866987405,1.2442979866987405,1.2442979866987405,1.2442979866987405,1.2442979866987405,1.2442979866987405,1.2442979866987405
2019-04-12,1.2442979866987405,1.2442979866987405,1.2442979866987405,1.2442979866987405,1.2442979866987405,1.2442979866987405,1.2442979866987405
2019-04-13,1.2442979866987405,1.2442979866987405,1.2442979866987405,1.2442979866987405,1.2442979866987405,1.2442979866987405,1.2442979866987405
2019-04-14,1.2442979866987405,1.2442979866987405,1.2442979866987405,1.2442979866987405,1.2442979866987405,1.2442979866987405,1.2442979866987405
2019-04-15,1.2442979866987405,1.2442979866987405,1.2442979866987405,1.2442979866987405,1.2442979866987405,1.2442979866987405,1.2442979866987405
2019-04-16,1.2494301927986682,1.2494301927986682,1.2494301927986682,1.2494301927986682,1.2494301927986682,1.2494301927986682,1.2494301927986682
2019-04-17,1.262787046836183,1.262787046836183,1.262787046836183,1.262787046836183,1.262787046836183,1.262787046836183,1.262787046836183
2019-04-18,1.2628446815893115,1.2628446815893115,1.2628446815893115,1.2628446815893115,1.2628446815893115,1.2628446815893115,1.2628446815893115
2019-04-19,1.270781467384706,1.270781467384706,1.270781467384706,1.270781467384706,1.270781467384706,1.270781467384706,1.270781467384706
2019-04-20,1.262234713785369,1.262234713785369,1.262234713785369,1.262234713785369,1.262234713785369,1.262234713785369,1.262234713785369
2019-04-21,1.2864893390602516,1.2864893390602516,1.2864893390602516,1.2864893390602516,1.2864893390602516,1.2864893390602516,1.2864893390602516
2019-04-22,1.319189857116497,1.319189857116497,1.319189857116497,1.319189857116497,1.319189857116497,1.319189857116497,1.319189857116497
2019-04-23,1.3003841174602984,1.3003841174602984,1.3003841174602984,1.3003841174602984,1.3003841174602984,1.3003841174602984,1.3003841174602984
2019-04-24,1.2535318660629753,1.2535318660629753,1.2535318660629753,1.2535318660629753,1.2535318660629753,1.2535318660629753,1.2535318660629753
2019-04-25,1.2761535066658858,1.2761535066658858,1.2761535066658858,1.2761535066658858,1.2761535066658858,1.2761535066658858,1.2761535066658858
2019-04-26,1.2717324408113253,1.2717324408113253,1.2717324408113253,1.2717324408113253,1.2717324408113253,1.2717324408113253,1.2717324408113253
2019-04-27,1.2745733538509478,1.2745733538509478,1.2745733538509478,1.2745733538509478,1.2745733538509478,1.2745733538509478,1.2745733538509478
2019-04-28,1.2579121073007362,1.2579121073007362,1.2579121073007362,1.2579121073007362,1.2579121073007362,1.2579121073007362,1.2579121073007362
2019-04-29,1.2777648783054347,1.2777648783054347,1.2777648783054347,1.2777648783054347,1.2777648783054347,1.2777648783054347,1.2777648783054347
