ts,phase60_restore_trx_sol_base
2018-08-27,1.0
2018-08-28,1.0
2018-08-29,1.0
2018-08-30,1.0
2018-08-31,1.0
2018-09-01,1.0
2018-09-02,1.0
2018-09-03,1.0
2018-09-04,1.0
2018-09-05,1.0
2018-09-06,1.0
2018-09-07,1.0
2018-09-08,1.0
2018-09-09,1.0
2018-09-10,1.0
2018-09-11,1.0
2018-09-12,1.0
2018-09-13,1.0
2018-09-14,1.0
2018-09-15,1.0
2018-09-16,1.0
2018-09-17,1.0
2018-09-18,1.0
2018-09-19,1.0
2018-09-20,1.0
2018-09-21,1.0
2018-09-22,1.0
2018-09-23,1.0
2018-09-24,1.0
2018-09-25,1.0
2018-09-26,1.0
2018-09-27,1.0
2018-09-28,1.0
2018-09-29,1.0
2018-09-30,1.0
2018-10-01,1.0
2018-10-02,1.0
2018-10-03,1.0
2018-10-04,1.0
2018-10-05,1.0
2018-10-06,1.0
2018-10-07,1.0
2018-10-08,1.0
2018-10-09,1.0
2018-10-10,1.0
2018-10-11,1.0
2018-10-12,1.0
2018-10-13,1.0
2018-10-14,1.0
2018-10-15,1.0
2018-10-16,1.0
2018-10-17,1.0
2018-10-18,1.0
2018-10-19,1.0
2018-10-20,1.0
2018-10-21,1.0
2018-10-22,1.0
2018-10-23,1.0
2018-10-24,1.0
2018-10-25,1.0
2018-10-26,1.0
2018-10-27,1.0
2018-10-28,1.0
2018-10-29,1.0
2018-10-30,1.0
2018-10-31,1.0
2018-11-01,1.0
2018-11-02,1.0
2018-11-03,1.0
2018-11-04,1.0
2018-11-05,1.0
2018-11-06,1.0
2018-11-07,1.0
2018-11-08,1.0
2018-11-09,1.0
2018-11-10,1.0
2018-11-11,1.0
2018-11-12,1.0
2018-11-13,1.0
2018-11-14,1.0
2018-11-15,1.0
2018-11-16,1.0
2018-11-17,1.0
2018-11-18,1.0
2018-11-19,1.0
2018-11-20,1.0
2018-11-21,1.0
2018-11-22,1.0
2018-11-23,1.0
2018-11-24,1.0
2018-11-25,1.0
2018-11-26,1.0
2018-11-27,1.0
2018-11-28,1.0
2018-11-29,1.0
2018-11-30,1.0
2018-12-01,1.0
2018-12-02,1.0
2018-12-03,1.0
2018-12-04,1.0
2018-12-05,1.0
2018-12-06,1.0
2018-12-07,1.0
2018-12-08,1.0
2018-12-09,1.0
2018-12-10,1.0
2018-12-11,1.0
2018-12-12,1.0
2018-12-13,1.0
2018-12-14,1.0
2018-12-15,1.0
2018-12-16,1.0
2018-12-17,1.0
2018-12-18,1.0
2018-12-19,1.0
2018-12-20,1.0
2018-12-21,1.0
2018-12-22,1.0
2018-12-23,1.0
2018-12-24,1.0
2018-12-25,1.0
2018-12-26,1.0
2018-12-27,1.0
2018-12-28,1.0
2018-12-29,1.0
2018-12-30,1.0
2018-12-31,1.0
2019-01-01,1.0
2019-01-02,1.0
2019-01-03,1.0
2019-01-04,1.0
2019-01-05,1.0
2019-01-06,1.0
2019-01-07,1.0
2019-01-08,1.0
2019-01-09,1.0
2019-01-10,1.0
2019-01-11,1.0
2019-01-12,1.0
2019-01-13,1.0
2019-01-14,1.0
2019-01-15,1.0
2019-01-16,1.0
2019-01-17,1.0
2019-01-18,1.0
2019-01-19,1.0
2019-01-20,1.0
2019-01-21,1.0
2019-01-22,1.0
2019-01-23,1.0
2019-01-24,1.0
2019-01-25,1.0
2019-01-26,1.0
2019-01-27,1.0
2019-01-28,1.0
2019-01-29,1.0
2019-01-30,1.0
2019-01-31,1.0
2019-02-01,1.0
2019-02-02,1.0
2019-02-03,1.0
2019-02-04,1.0
2019-02-05,1.0
2019-02-06,1.0
2019-02-07,1.0
2019-02-08,1.0
2019-02-09,1.0
2019-02-10,1.0
2019-02-11,1.0
2019-02-12,1.0
2019-02-13,1.0
2019-02-14,1.0
2019-02-15,1.0
2019-02-16,1.0
2019-02-17,1.0
2019-02-18,1.0
2019-02-19,1.0
2019-02-20,1.0
2019-02-21,1.0
2019-02-22,1.0
2019-02-23,1.0
2019-02-24,1.0
2019-02-25,1.0
2019-02-26,1.0
2019-02-27,1.0
2019-02-28,1.0
2019-03-01,1.0
2019-03-02,1.0
2019-03-03,1.0
2019-03-04,1.0
2019-03-05,1.0
2019-03-06,1.0
2019-03-07,1.0
2019-03-08,1.0
2019-03-09,1.0
2019-03-10,1.0
2019-03-11,1.0
2019-03-12,1.0
2019-03-13,1.0
2019-03-14,1.0
2019-03-15,1.0
2019-03-16,1.0
2019-03-17,1.0
2019-03-18,1.0
2019-03-19,1.0
2019-03-20,1.0
2019-03-21,1.0
2019-03-22,1.0
2019-03-23,1.0
2019-03-24,1.0
2019-03-25,1.0
2019-03-26,0.9942655826558267
2019-03-27,1.0390827929643474
2019-03-28,1.0231853674209475
2019-03-29,1.0392519145126813
2019-03-30,1.0223397596792771
2019-03-31,1.0228471243242792
2019-04-01,1.0402616541846956
2019-04-02,1.1464871116608362
2019-04-03,1.268626663207693
2019-04-04,1.2667237232128816
2019-04-05,1.2667237232128816
2019-04-06,1.2667237232128816
2019-04-07,1.2667237232128816
2019-04-08,1.2667237232128816
2019-04-09,1.2356220835790634
2019-04-10,1.253455804372988
2019-04-11,1.1611026074044497
2019-04-12,1.1593609534933431
2019-04-13,1.1593609534933431
2019-04-14,1.1593609534933431
2019-04-15,1.1593609534933431
2019-04-16,1.1593609534933431
2019-04-17,1.1641428300383039
2019-04-18,1.1765879317728885
2019-04-19,1.1766416323197475
2019-04-20,1.1840366451267954
2019-04-21,1.1760733015321558
2019-04-22,1.198672281668672
2019-04-23,1.2291406294428244
2019-04-24,1.211618588507274
2019-04-25,1.1679645189564396
2019-04-26,1.1890419835986161
2019-04-27,1.18492270414997
2019-04-28,1.187569693605564
2019-04-29,1.1720457605177275
2019-04-30,1.1905433613878837
2019-05-01,1.2045032660484505
2019-05-02,1.2290421784402497
2019-05-03,1.2916525410323283
2019-05-04,1.3043527203644931
2019-05-05,1.292308135208566
2019-05-06,1.286081109295702
2019-05-07,1.3081318963496986
2019-05-08,1.3396697800154602
2019-05-09,1.3893181731094362
2019-05-10,1.4260471096382394
2019-05-11,1.5833203487288912
2019-05-12,1.5589514880688122
2019-05-13,1.7431891142510632
2019-05-14,1.778284659146237
2019-05-15,1.8280270281972157
2019-05-16,1.7601674371496654
2019-05-17,1.6457561845436774
2019-05-18,1.643287550266862
2019-05-19,1.643287550266862
2019-05-20,1.643287550266862
2019-05-21,1.643287550266862
2019-05-22,1.643287550266862
2019-05-23,1.643287550266862
2019-05-24,1.643287550266862
2019-05-25,1.643287550266862
2019-05-26,1.643287550266862
2019-05-27,1.643287550266862
2019-05-28,1.643287550266862
2019-05-29,1.643287550266862
2019-05-30,1.643287550266862
2019-05-31,1.643287550266862
2019-06-01,1.643287550266862
2019-06-02,1.643287550266862
2019-06-03,1.643287550266862
2019-06-04,1.643287550266862
2019-06-05,1.643287550266862
2019-06-06,1.643287550266862
2019-06-07,1.6817280635930116
2019-06-08,1.663413617559118
2019-06-09,1.6074672100394034
2019-06-10,1.6050560092243444
2019-06-11,1.5829741612660524
2019-06-12,1.631706694069984
2019-06-13,1.6499557969449836
2019-06-14,1.736575796135823
2019-06-15,1.768436441089205
2019-06-16,1.7657837864275714
2019-06-17,1.7657837864275714
2019-06-18,1.7657837864275714
2019-06-19,1.7657837864275714
2019-06-20,1.7657837864275714
2019-06-21,1.882387560111651
2019-06-22,1.987928704353993
2019-06-23,2.020643049973806
2019-06-24,2.0485309318489504
2019-06-25,2.190132522871517
2019-06-26,2.4259789243739514
2019-06-27,2.0991856415530727
2019-06-28,2.096036863090743
2019-06-29,2.096036863090743
2019-06-30,2.096036863090743
2019-07-01,2.096036863090743
2019-07-02,2.096036863090743
2019-07-03,2.096036863090743
2019-07-04,2.096036863090743
2019-07-05,2.096036863090743
2019-07-06,2.096036863090743
2019-07-07,2.096036863090743
2019-07-08,2.096036863090743
2019-07-09,2.096036863090743
2019-07-10,2.096036863090743
2019-07-11,2.096036863090743
2019-07-12,2.096036863090743
2019-07-13,2.096036863090743
2019-07-14,2.096036863090743
2019-07-15,2.096036863090743
2019-07-16,2.096036863090743
2019-07-17,2.096036863090743
2019-07-18,2.096036863090743
2019-07-19,2.096036863090743
2019-07-20,2.096036863090743
2019-07-21,2.096036863090743
2019-07-22,2.096036863090743
2019-07-23,2.096036863090743
2019-07-24,2.096036863090743
2019-07-25,2.096036863090743
2019-07-26,2.096036863090743
2019-07-27,2.096036863090743
2019-07-28,2.096036863090743
2019-07-29,2.096036863090743
2019-07-30,2.096036863090743
2019-07-31,2.096036863090743
2019-08-01,2.096036863090743
2019-08-02,2.096036863090743
2019-08-03,2.096036863090743
2019-08-04,2.096036863090743
2019-08-05,2.096036863090743
2019-08-06,2.096036863090743
2019-08-07,2.096036863090743
2019-08-08,2.096036863090743
2019-08-09,2.096036863090743
2019-08-10,2.096036863090743
2019-08-11,2.096036863090743
2019-08-12,2.096036863090743
2019-08-13,2.096036863090743
2019-08-14,2.096036863090743
2019-08-15,2.096036863090743
2019-08-16,2.096036863090743
2019-08-17,2.096036863090743
2019-08-18,2.096036863090743
2019-08-19,2.096036863090743
2019-08-20,2.096036863090743
2019-08-21,2.096036863090743
2019-08-22,2.096036863090743
2019-08-23,2.096036863090743
2019-08-24,2.096036863090743
2019-08-25,2.096036863090743
2019-08-26,2.096036863090743
2019-08-27,2.096036863090743
2019-08-28,2.096036863090743
2019-08-29,2.096036863090743
2019-08-30,2.096036863090743
2019-08-31,2.096036863090743
2019-09-01,2.096036863090743
2019-09-02,2.096036863090743
2019-09-03,2.096036863090743
2019-09-04,2.096036863090743
2019-09-05,2.096036863090743
2019-09-06,2.096036863090743
2019-09-07,2.096036863090743
2019-09-08,2.096036863090743
2019-09-09,2.096036863090743
2019-09-10,2.096036863090743
2019-09-11,2.096036863090743
2019-09-12,2.096036863090743
2019-09-13,2.096036863090743
2019-09-14,2.096036863090743
2019-09-15,2.096036863090743
2019-09-16,2.096036863090743
2019-09-17,2.096036863090743
2019-09-18,2.096036863090743
2019-09-19,2.096036863090743
2019-09-20,2.096036863090743
2019-09-21,2.096036863090743
2019-09-22,2.096036863090743
2019-09-23,2.096036863090743
2019-09-24,2.096036863090743
2019-09-25,2.096036863090743
2019-09-26,2.096036863090743
2019-09-27,2.096036863090743
2019-09-28,2.096036863090743
2019-09-29,2.096036863090743
2019-09-30,2.096036863090743
2019-10-01,2.096036863090743
2019-10-02,2.096036863090743
2019-10-03,2.096036863090743
2019-10-04,2.096036863090743
2019-10-05,2.096036863090743
2019-10-06,2.096036863090743
2019-10-07,2.096036863090743
2019-10-08,2.096036863090743
2019-10-09,2.096036863090743
2019-10-10,2.096036863090743
2019-10-11,2.096036863090743
2019-10-12,2.096036863090743
2019-10-13,2.096036863090743
2019-10-14,2.096036863090743
2019-10-15,2.096036863090743
2019-10-16,2.096036863090743
2019-10-17,2.096036863090743
2019-10-18,2.096036863090743
2019-10-19,2.096036863090743
2019-10-20,2.096036863090743
2019-10-21,2.096036863090743
2019-10-22,2.096036863090743
2019-10-23,2.096036863090743
2019-10-24,2.096036863090743
2019-10-25,2.096036863090743
2019-10-26,2.096036863090743
2019-10-27,2.096036863090743
2019-10-28,2.096036863090743
2019-10-29,2.096036863090743
2019-10-30,2.096036863090743
2019-10-31,2.096036863090743
2019-11-01,2.096036863090743
2019-11-02,2.096036863090743
2019-11-03,2.096036863090743
2019-11-04,2.096036863090743
2019-11-05,2.096036863090743
2019-11-06,2.096036863090743
2019-11-07,2.096036863090743
2019-11-08,2.096036863090743
2019-11-09,2.096036863090743
2019-11-10,2.096036863090743
2019-11-11,2.096036863090743
2019-11-12,2.096036863090743
2019-11-13,2.096036863090743
2019-11-14,2.096036863090743
2019-11-15,2.096036863090743
2019-11-16,2.096036863090743
2019-11-17,2.096036863090743
2019-11-18,2.096036863090743
2019-11-19,2.096036863090743
2019-11-20,2.096036863090743
2019-11-21,2.096036863090743
2019-11-22,2.096036863090743
2019-11-23,2.096036863090743
2019-11-24,2.096036863090743
2019-11-25,2.096036863090743
2019-11-26,2.096036863090743
2019-11-27,2.096036863090743
2019-11-28,2.096036863090743
2019-11-29,2.096036863090743
2019-11-30,2.096036863090743
2019-12-01,2.096036863090743
2019-12-02,2.096036863090743
2019-12-03,2.096036863090743
2019-12-04,2.096036863090743
2019-12-05,2.096036863090743
2019-12-06,2.096036863090743
2019-12-07,2.096036863090743
2019-12-08,2.096036863090743
2019-12-09,2.096036863090743
2019-12-10,2.096036863090743
2019-12-11,2.096036863090743
2019-12-12,2.096036863090743
2019-12-13,2.096036863090743
2019-12-14,2.096036863090743
2019-12-15,2.096036863090743
2019-12-16,2.096036863090743
2019-12-17,2.096036863090743
2019-12-18,2.096036863090743
2019-12-19,2.096036863090743
2019-12-20,2.096036863090743
2019-12-21,2.096036863090743
2019-12-22,2.096036863090743
2019-12-23,2.096036863090743
2019-12-24,2.096036863090743
2019-12-25,2.096036863090743
2019-12-26,2.096036863090743
2019-12-27,2.096036863090743
2019-12-28,2.096036863090743
2019-12-29,2.096036863090743
2019-12-30,2.096036863090743
2019-12-31,2.096036863090743
2020-01-01,2.096036863090743
2020-01-02,2.096036863090743
2020-01-03,2.096036863090743
2020-01-04,2.096036863090743
2020-01-05,2.096036863090743
2020-01-06,2.096036863090743
2020-01-07,2.096036863090743
2020-01-08,2.096036863090743
2020-01-09,2.096036863090743
2020-01-10,2.096036863090743
2020-01-11,2.096036863090743
2020-01-12,2.096036863090743
2020-01-13,2.096036863090743
2020-01-14,2.096036863090743
2020-01-15,2.096036863090743
2020-01-16,2.096036863090743
2020-01-17,2.096036863090743
2020-01-18,2.096036863090743
2020-01-19,2.096036863090743
2020-01-20,2.096036863090743
2020-01-21,2.096036863090743
2020-01-22,2.096036863090743
2020-01-23,2.096036863090743
2020-01-24,2.096036863090743
2020-01-25,2.096036863090743
2020-01-26,2.096036863090743
2020-01-27,2.096036863090743
2020-01-28,2.096036863090743
2020-01-29,2.096036863090743
2020-01-30,2.096036863090743
2020-01-31,2.096036863090743
2020-02-01,2.096036863090743
2020-02-02,2.096036863090743
2020-02-03,2.096036863090743
2020-02-04,2.096036863090743
2020-02-05,2.096036863090743
2020-02-06,2.096036863090743
2020-02-07,2.096036863090743
2020-02-08,2.096036863090743
2020-02-09,2.096036863090743
2020-02-10,2.0279333594422
2020-02-11,2.3913946895011073
2020-02-12,2.387807597466856
2020-02-13,2.407408484104314
2020-02-14,2.558409843628299
2020-02-15,2.3765442727696433
2020-02-16,2.322442181389392
2020-02-17,2.318958518117308
2020-02-18,2.318958518117308
2020-02-19,2.318958518117308
2020-02-20,2.318958518117308
2020-02-21,2.318958518117308
2020-02-22,2.318958518117308
2020-02-23,2.318958518117308
2020-02-24,2.318958518117308
2020-02-25,2.318958518117308
2020-02-26,2.318958518117308
2020-02-27,2.318958518117308
2020-02-28,2.318958518117308
2020-02-29,2.318958518117308
2020-03-01,2.318958518117308
2020-03-02,2.318958518117308
2020-03-03,2.318958518117308
2020-03-04,2.318958518117308
2020-03-05,2.318958518117308
2020-03-06,2.318958518117308
2020-03-07,2.318958518117308
2020-03-08,2.318958518117308
2020-03-09,2.318958518117308
2020-03-10,2.318958518117308
2020-03-11,2.318958518117308
2020-03-12,2.318958518117308
2020-03-13,2.318958518117308
2020-03-14,2.318958518117308
2020-03-15,2.318958518117308
2020-03-16,2.318958518117308
2020-03-17,2.318958518117308
2020-03-18,2.318958518117308
2020-03-19,2.318958518117308
2020-03-20,2.318958518117308
2020-03-21,2.318958518117308
2020-03-22,2.318958518117308
2020-03-23,2.318958518117308
2020-03-24,2.318958518117308
2020-03-25,2.318958518117308
2020-03-26,2.318958518117308
2020-03-27,2.318958518117308
2020-03-28,2.318958518117308
2020-03-29,2.318958518117308
2020-03-30,2.318958518117308
2020-03-31,2.318958518117308
2020-04-01,2.318958518117308
2020-04-02,2.318958518117308
2020-04-03,2.318958518117308
2020-04-04,2.318958518117308
2020-04-05,2.318958518117308
2020-04-06,2.318958518117308
2020-04-07,2.318958518117308
2020-04-08,2.318958518117308
2020-04-09,2.318958518117308
2020-04-10,2.318958518117308
2020-04-11,2.318958518117308
2020-04-12,2.318958518117308
2020-04-13,2.318958518117308
2020-04-14,2.318958518117308
2020-04-15,2.318958518117308
2020-04-16,2.318958518117308
2020-04-17,2.318958518117308
2020-04-18,2.318958518117308
2020-04-19,2.318958518117308
2020-04-20,2.318958518117308
2020-04-21,2.318958518117308
2020-04-22,2.318958518117308
2020-04-23,2.318958518117308
2020-04-24,2.318958518117308
2020-04-25,2.318958518117308
2020-04-26,2.318958518117308
2020-04-27,2.318958518117308
2020-04-28,2.318958518117308
2020-04-29,2.318958518117308
2020-04-30,2.318958518117308
2020-05-01,2.318958518117308
2020-05-02,2.318958518117308
2020-05-03,2.318958518117308
2020-05-04,2.318958518117308
2020-05-05,2.318958518117308
2020-05-06,2.318958518117308
2020-05-07,2.318958518117308
2020-05-08,2.318958518117308
2020-05-09,2.318958518117308
2020-05-10,2.318958518117308
2020-05-11,2.318958518117308
2020-05-12,2.318958518117308
2020-05-13,2.318958518117308
2020-05-14,2.318958518117308
2020-05-15,2.318958518117308
2020-05-16,2.318958518117308
2020-05-17,2.318958518117308
2020-05-18,2.318958518117308
2020-05-19,2.318958518117308
2020-05-20,2.318958518117308
2020-05-21,2.318958518117308
2020-05-22,2.318958518117308
2020-05-23,2.318958518117308
2020-05-24,2.318958518117308
2020-05-25,2.318958518117308
2020-05-26,2.318958518117308
2020-05-27,2.318958518117308
2020-05-28,2.318958518117308
2020-05-29,2.318958518117308
2020-05-30,2.318958518117308
2020-05-31,2.290326518366444
2020-06-01,2.4482300769466168
2020-06-02,2.3444739620149875
2020-06-03,2.411639279760653
2020-06-04,2.398719079137037
2020-06-05,2.3555771056243313
2020-06-06,2.367254499090788
2020-06-07,2.392889808620497
2020-06-08,2.4108932321070107
2020-06-09,2.3854536119630243
2020-06-10,2.424395799721896
2020-06-11,2.2554180151501098
2020-06-12,2.3243006789245957
2020-06-13,2.329779981724839
2020-06-14,2.267746446450657
2020-06-15,2.258842579400262
2020-06-16,2.3022856230307616
2020-06-17,2.2878046084872614
2020-06-18,2.267541345302216
2020-06-19,2.2437243590603604
2020-06-20,2.2867044376807213
2020-06-21,2.2892777672286915
2020-06-22,2.455120643841523
2020-06-23,2.451437962875761
2020-06-24,2.451437962875761
2020-06-25,2.426024123508472
2020-06-26,2.3961814181612278
2020-06-27,2.3054011606363947
2020-06-28,2.3470348649495083
2020-06-29,2.378338402027037
2020-06-30,2.354025988230156
2020-07-01,2.410268009846116
2020-07-02,2.4506106432811934
2020-07-03,2.415533355341903
2020-07-04,2.4610266065120747
2020-07-05,2.4221709789694255
2020-07-06,2.587440643990291
2020-07-07,2.754902541584379
2020-07-08,3.127320630763416
2020-07-09,2.9267952169361706
2020-07-10,2.9093062910911556
2020-07-11,2.884344573348643
2020-07-12,2.9277562563791006
2020-07-13,2.8880828016095994
2020-07-14,2.8994180744008853
2020-07-15,2.877350468860403
2020-07-16,2.8165741126177624
2020-07-17,2.805721191860148
2020-07-18,2.841897594385529
2020-07-19,2.8833798692812995
2020-07-20,2.845997586671739
2020-07-21,2.961520898736123
2020-07-22,3.1803881340146796
2020-07-23,3.3197878717458154
2020-07-24,3.366214254986721
2020-07-25,3.681069544965956
2020-07-26,3.750287061797852
2020-07-27,3.8820897549986575
2020-07-28,3.8198663426550015
2020-07-29,3.831201615446288
2020-07-30,4.038130637891469
2020-07-31,4.1763244955384256
2020-08-01,4.666755925774177
2020-08-02,4.490938609500824
2020-08-03,4.537686520680906
2020-08-04,4.5264270436723155
2020-08-05,4.750055463827853
2020-08-06,4.757153302243829
2020-08-07,4.689115162259806
2020-08-08,4.756728645244583
2020-08-09,4.724483023768472
2020-08-10,4.809915923312103
2020-08-11,4.607358579023936
2020-08-12,4.677022548662218
2020-08-13,4.764247096307432
2020-08-14,4.756376786588065
2020-08-15,4.793528207493566
2020-08-16,4.817228112403889
2020-08-17,4.966921726814438
2020-08-18,4.8309829548271
2020-08-19,4.753970396925668
2020-08-20,4.793993308016549
2020-08-21,4.663680230181131
2020-08-22,4.716911996124763
2020-08-23,4.648698889570541
2020-08-24,4.674690130300995
2020-08-25,4.376868520847715
2020-08-26,4.419040330919725
2020-08-27,4.376690230376057
2020-08-28,4.511895209444736
2020-08-29,4.552319671091959
2020-08-30,4.89821146298303
2020-08-31,4.953595259307615
2020-09-01,5.428753973754214
2020-09-02,5.018799687557798
2020-09-03,4.3553360656076086
2020-09-04,4.473434568712754
2020-09-05,4.353717601568627
2020-09-06,4.3920487853183445
2020-09-07,4.442254885003483
2020-09-08,4.336571130812972
2020-09-09,4.376204144510171
2020-09-10,4.426594384615513
2020-09-11,4.448442859589377
2020-09-12,4.471152083969306
2020-09-13,4.424864321132675
2020-09-14,4.570009795606242
2020-09-15,4.618631431210563
2020-09-16,4.690874428625123
2020-09-17,4.684870594459432
2020-09-18,4.682044253126082
2020-09-19,4.745105923542608
2020-09-20,4.676430111477565
2020-09-21,4.461002949181368
2020-09-22,4.50913211622003
2020-09-23,4.385736623007195
2020-09-24,4.597652270313472
2020-09-25,4.576390475283046
2020-09-26,4.5943463074205235
2020-09-27,4.613895168309525
2020-09-28,4.580437282192159
2020-09-29,4.642257075356153
2020-09-30,4.614897234782258
2020-10-01,4.547467582305099
2020-10-02,4.526599762127201
2020-10-03,4.514463623735212
2020-10-04,4.56780867523451
2020-10-05,4.6215862426045184
2020-10-06,4.614653863240612
2020-10-07,4.614653863240612
2020-10-08,4.614653863240612
2020-10-09,4.614653863240612
2020-10-10,4.614653863240612
2020-10-11,4.614653863240612
2020-10-12,4.951188913915212
2020-10-13,4.96335272716395
2020-10-14,4.981509601123555
2020-10-15,5.060275541894937
2020-10-16,4.854476098616144
2020-10-17,4.877367178112628
2020-10-18,5.007008318082554
2020-10-19,5.0227665363220035
2020-10-20,4.880015618152873
2020-10-21,5.1694901145514995
2020-10-22,5.482006039300245
2020-10-23,5.417516524320313
2020-10-24,5.4576403909300035
2020-10-25,5.374479373666355
2020-10-26,5.197828422982106
2020-10-27,5.342565671181419
2020-10-28,5.181664413026238
2020-10-29,5.255602261529665
2020-10-30,5.296379395094155
2020-10-31,5.386565603332091
2020-11-01,5.375043329001129
2020-11-02,5.2921884119222495
2020-11-03,5.47738846605001
2020-11-04,5.524446215588799
2020-11-05,6.089236856446912
2020-11-06,6.085291942184447
2020-11-07,5.787814159948946
2020-11-08,6.04435076268033
2020-11-09,5.987055765337659
2020-11-10,5.974869495536777
2020-11-11,6.126037828903293
2020-11-12,6.363365433275467
2020-11-13,6.374629921129872
2020-11-14,6.276885882101965
2020-11-15,6.232573949124078
2020-11-16,6.528079274228347
2020-11-17,6.897499012701809
2020-11-18,6.943095972206774
2020-11-19,6.953524606940221
2020-11-20,7.2866355107761835
2020-11-21,10.200544729436698
2020-11-22,10.311773788689274
2020-11-23,11.205719858437083
2020-11-24,11.139249306186011
2020-11-25,10.486143907752341
2020-11-26,9.571575395200878
2020-11-27,9.557218032108077
2020-11-28,9.866481718965394
2020-11-29,10.125473488464548
2020-11-30,10.966737376113167
2020-12-01,10.448403050653184
2020-12-02,10.69291235052024
2020-12-03,10.81418980959624
2020-12-04,10.38468241148759
2020-12-05,10.661491906024306
2020-12-06,10.779389565382242
2020-12-07,10.672204813203143
2020-12-08,10.202936048065354
2020-12-09,10.3238571526406
2020-12-10,10.16424931257754
2020-12-11,10.042810380368387
2020-12-12,10.472752085524824
2020-12-13,10.676709356814202
2020-12-14,10.731359660327856
2020-12-15,10.715262620837365
2020-12-16,11.75220876935572
2020-12-17,12.557321484004394
2020-12-18,12.728204955629046
2020-12-19,13.121617562739127
2020-12-20,12.919964820815169
2020-12-21,12.514659830143291
2020-12-22,13.115657600250072
2020-12-23,12.797262302879739
2020-12-24,13.07071551711867
2020-12-25,13.612328485382127
2020-12-26,14.593309668007205
2020-12-27,14.476682786509324
2020-12-28,14.916106083703557
2020-12-29,15.084433711894828
2020-12-30,15.90546536516953
2020-12-31,15.93195469937457
2021-01-01,16.156725706147466
2021-01-02,17.724735652527908
2021-01-03,18.177362304700203
2021-01-04,18.150096261243153
2021-01-05,18.150096261243153
2021-01-06,18.150096261243153
2021-01-07,18.150096261243153
2021-01-08,18.150096261243153
2021-01-09,18.150096261243153
2021-01-10,18.150096261243153
2021-01-11,18.150096261243153
2021-01-12,18.150096261243153
2021-01-13,18.150096261243153
2021-01-14,18.150096261243153
2021-01-15,18.150096261243153
2021-01-16,18.150096261243153
2021-01-17,18.150096261243153
2021-01-18,18.150096261243153
2021-01-19,18.150096261243153
2021-01-20,18.150096261243153
2021-01-21,18.150096261243153
2021-01-22,18.150096261243153
2021-01-23,18.150096261243153
2021-01-24,18.150096261243153
2021-01-25,18.150096261243153
2021-01-26,18.150096261243153
2021-01-27,18.150096261243153
2021-01-28,18.150096261243153
2021-01-29,18.150096261243153
2021-01-30,18.150096261243153
2021-01-31,18.150096261243153
2021-02-01,18.150096261243153
2021-02-02,18.150096261243153
2021-02-03,18.150096261243153
2021-02-04,18.150096261243153
2021-02-05,18.150096261243153
2021-02-06,18.150096261243153
2021-02-07,18.150096261243153
2021-02-08,18.150096261243153
