config_id,promotion_margin,persistence_weeks,cooldown_days,downside_lookback_days,bnb_shield_margin,score,est_since2025_repair_pct_pts,est_full_history_lift_retained_pct_pts,est_dd_help_pct_pts,base_full_history_lift_vs_66g_pct_pts,base_since2023_lift_vs_66g_pct_pts,base_since2025_gap_vs_66g_pct_pts,base_dd_gap_vs_66g_pct_pts,damage_data_available,profile_label
g107,0.01,2,14,63,0.01,306.737456,4.3,32.4148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd14_dl63_bs0.01
g134,0.02,1,14,63,0.01,305.987456,3.4,31.5148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd14_dl63_bs0.01
g077,0.01,1,14,42,0.01,304.687456,3.4,33.7148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd14_dl42_bs0.01
g089,0.01,2,0,63,0.01,304.387456,3.6,33.4148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd0_dl63_bs0.01
g206,0.03,2,7,63,0.01,304.137456,4.3,31.2148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw2_cd7_dl63_bs0.01
g080,0.01,1,14,63,0.01,301.487456,3.4,33.7148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd14_dl63_bs0.01
g119,0.02,1,7,21,0.01,300.587456,2.6,32.5148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd7_dl21_bs0.01
g155,0.02,2,14,21,0.01,300.437456,3.5,30.2148,1.5,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd14_dl21_bs0.01
g093,0.01,2,7,21,0.02,300.187456,3.5,32.6148,1.5,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd7_dl21_bs0.02
g069,0.01,1,7,42,0.02,300.187456,3.4,33.9148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd7_dl42_bs0.02
g105,0.01,2,14,42,0.02,300.037456,4.3,31.6148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd14_dl42_bs0.02
g041,0.0,2,7,42,0.01,299.337456,3.6,33.4148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw2_cd7_dl42_bs0.01
g148,0.02,2,7,42,0.0,298.337456,3.1,31.2148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd7_dl42_bs0.00
g137,0.02,2,0,21,0.01,298.087456,2.8,31.2148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd0_dl21_bs0.01
g113,0.02,1,0,42,0.01,298.087456,2.7,32.5148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd0_dl42_bs0.01
g087,0.01,2,0,42,0.02,297.687456,3.6,32.6148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd0_dl42_bs0.02
g147,0.02,2,7,21,0.02,297.187456,3.5,30.4148,1.5,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd7_dl21_bs0.02
g123,0.02,1,7,42,0.02,297.187456,3.4,31.7148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd7_dl42_bs0.02
g159,0.02,2,14,42,0.02,297.037456,4.3,29.4148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd14_dl42_bs0.02
g072,0.01,1,7,63,0.02,296.987456,3.4,33.9148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd7_dl63_bs0.02
g108,0.01,2,14,63,0.02,296.837456,4.3,31.6148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd14_dl63_bs0.02
g044,0.0,2,7,63,0.01,296.137456,3.6,33.4148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw2_cd7_dl63_bs0.01
g065,0.01,1,7,21,0.01,296.087456,2.6,34.7148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd7_dl21_bs0.01
g101,0.01,2,14,21,0.01,295.937456,3.5,32.4148,1.5,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd14_dl21_bs0.01
g128,0.02,1,14,21,0.01,295.187456,2.6,31.5148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd14_dl21_bs0.01
g151,0.02,2,7,63,0.0,295.137456,3.1,31.2148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd7_dl63_bs0.00
g116,0.02,1,0,63,0.01,294.887456,2.7,32.5148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd0_dl63_bs0.01
g078,0.01,1,14,42,0.02,294.787456,3.4,32.9148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd14_dl42_bs0.02
g141,0.02,2,0,42,0.02,294.687456,3.6,30.4148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd0_dl42_bs0.02
g090,0.01,2,0,63,0.02,294.487456,3.6,32.6148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd0_dl63_bs0.02
g126,0.02,1,7,63,0.02,293.987456,3.4,31.7148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd7_dl63_bs0.02
g162,0.02,2,14,63,0.02,293.837456,4.3,29.4148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd14_dl63_bs0.02
g094,0.01,2,7,42,0.0,293.837456,3.1,33.4148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd7_dl42_bs0.00
g083,0.01,2,0,21,0.01,293.587456,2.8,33.4148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd0_dl21_bs0.01
g059,0.01,1,0,42,0.01,293.587456,2.7,34.7148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd0_dl42_bs0.01
g200,0.03,2,7,21,0.01,293.337456,3.5,31.2148,1.5,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw2_cd7_dl21_bs0.01
g176,0.03,1,7,42,0.01,293.337456,3.4,32.5148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw1_cd7_dl42_bs0.01
g212,0.03,2,14,42,0.01,293.187456,4.3,30.2148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw2_cd14_dl42_bs0.01
g132,0.02,1,14,42,0.02,291.787456,3.4,30.7148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd14_dl42_bs0.02
g081,0.01,1,14,63,0.02,291.587456,3.4,32.9148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd14_dl63_bs0.02
g144,0.02,2,0,63,0.02,291.487456,3.6,30.4148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd0_dl63_bs0.02
g194,0.03,2,0,42,0.01,290.837456,3.6,31.2148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw2_cd0_dl42_bs0.01
g074,0.01,1,14,21,0.01,290.687456,2.6,33.7148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd14_dl21_bs0.01
g097,0.01,2,7,63,0.0,290.637456,3.1,33.4148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd7_dl63_bs0.00
g062,0.01,1,0,63,0.01,290.387456,2.7,34.7148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd0_dl63_bs0.01
g179,0.03,1,7,63,0.01,290.137456,3.4,32.5148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw1_cd7_dl63_bs0.01
g215,0.03,2,14,63,0.01,289.987456,4.3,30.2148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw2_cd14_dl63_bs0.01
g204,0.03,2,7,42,0.02,289.937456,4.3,30.4148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw2_cd7_dl42_bs0.02
g042,0.0,2,7,42,0.02,289.437456,3.6,32.6148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw2_cd7_dl42_bs0.02
g135,0.02,1,14,63,0.02,288.587456,3.4,30.7148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd14_dl63_bs0.02
g185,0.03,1,14,42,0.01,287.937456,3.4,31.5148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw1_cd14_dl42_bs0.01
g197,0.03,2,0,63,0.01,287.637456,3.6,31.2148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw2_cd0_dl63_bs0.01
g207,0.03,2,7,63,0.02,286.737456,4.3,30.4148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw2_cd7_dl63_bs0.02
g045,0.0,2,7,63,0.02,286.237456,3.6,32.6148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw2_cd7_dl63_bs0.02
g066,0.01,1,7,21,0.02,286.187456,2.6,33.9148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd7_dl21_bs0.02
g102,0.01,2,14,21,0.02,286.037456,3.5,31.6148,1.5,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd14_dl21_bs0.02
g038,0.0,2,7,21,0.01,285.337456,2.8,33.4148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw2_cd7_dl21_bs0.01
g014,0.0,1,7,42,0.01,285.337456,2.7,34.7148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw1_cd7_dl42_bs0.01
g050,0.0,2,14,42,0.01,285.187456,3.6,32.4148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw2_cd14_dl42_bs0.01
g188,0.03,1,14,63,0.01,284.737456,3.4,31.5148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw1_cd14_dl63_bs0.01
g145,0.02,2,7,21,0.0,284.337456,2.3,31.2148,1.5,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd7_dl21_bs0.00
g121,0.02,1,7,42,0.0,284.337456,2.2,32.5148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd7_dl42_bs0.00
g157,0.02,2,14,42,0.0,284.187456,3.1,30.2148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd14_dl42_bs0.00
g110,0.02,1,0,21,0.01,284.087456,1.9,32.5148,0.5,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd0_dl21_bs0.01
g084,0.01,2,0,21,0.02,283.687456,2.8,32.6148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd0_dl21_bs0.02
g060,0.01,1,0,42,0.02,283.687456,2.7,33.9148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd0_dl42_bs0.02
g120,0.02,1,7,21,0.02,283.187456,2.6,31.7148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd7_dl21_bs0.02
g156,0.02,2,14,21,0.02,283.037456,3.5,29.4148,1.5,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd14_dl21_bs0.02
g032,0.0,2,0,42,0.01,282.837456,2.9,33.4148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw2_cd0_dl42_bs0.01
g017,0.0,1,7,63,0.01,282.137456,2.7,34.7148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw1_cd7_dl63_bs0.01
g053,0.0,2,14,63,0.01,281.987456,3.6,32.4148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw2_cd14_dl63_bs0.01
g139,0.02,2,0,42,0.0,281.837456,2.4,31.2148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd0_dl42_bs0.00
g124,0.02,1,7,63,0.0,281.137456,2.2,32.5148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd7_dl63_bs0.00
g160,0.02,2,14,63,0.0,280.987456,3.1,30.2148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd14_dl63_bs0.00
g075,0.01,1,14,21,0.02,280.787456,2.6,32.9148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd14_dl21_bs0.02
g138,0.02,2,0,21,0.02,280.687456,2.8,30.4148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd0_dl21_bs0.02
g114,0.02,1,0,42,0.02,280.687456,2.7,31.7148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd0_dl42_bs0.02
g063,0.01,1,0,63,0.02,280.487456,2.7,33.9148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd0_dl63_bs0.02
g023,0.0,1,14,42,0.01,279.937456,2.7,33.7148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw1_cd14_dl42_bs0.01
g091,0.01,2,7,21,0.0,279.837456,2.3,33.4148,1.5,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd7_dl21_bs0.00
g067,0.01,1,7,42,0.0,279.837456,2.2,34.7148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd7_dl42_bs0.00
g103,0.01,2,14,42,0.0,279.687456,3.1,32.4148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd14_dl42_bs0.00
g035,0.0,2,0,63,0.01,279.637456,2.9,33.4148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw2_cd0_dl63_bs0.01
g056,0.01,1,0,21,0.01,279.587456,1.9,34.7148,0.5,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd0_dl21_bs0.01
g173,0.03,1,7,21,0.01,279.337456,2.6,32.5148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw1_cd7_dl21_bs0.01
g209,0.03,2,14,21,0.01,279.187456,3.5,30.2148,1.5,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw2_cd14_dl21_bs0.01
g130,0.02,1,14,42,0.0,278.937456,2.2,31.5148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd14_dl42_bs0.00
g142,0.02,2,0,63,0.0,278.637456,2.4,31.2148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd0_dl63_bs0.00
g129,0.02,1,14,21,0.02,277.787456,2.6,30.7148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd14_dl21_bs0.02
g117,0.02,1,0,63,0.02,277.487456,2.7,31.7148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd0_dl63_bs0.02
g085,0.01,2,0,42,0.0,277.337456,2.4,33.4148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd0_dl42_bs0.00
g202,0.03,2,7,42,0.0,277.087456,3.1,31.2148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw2_cd7_dl42_bs0.00
g191,0.03,2,0,21,0.01,276.837456,2.8,31.2148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw2_cd0_dl21_bs0.01
g167,0.03,1,0,42,0.01,276.837456,2.7,32.5148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw1_cd0_dl42_bs0.01
g026,0.0,1,14,63,0.01,276.737456,2.7,33.7148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw1_cd14_dl63_bs0.01
g070,0.01,1,7,63,0.0,276.637456,2.2,34.7148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd7_dl63_bs0.00
g106,0.01,2,14,63,0.0,276.487456,3.1,32.4148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd14_dl63_bs0.00
g201,0.03,2,7,21,0.02,275.937456,3.5,30.4148,1.5,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw2_cd7_dl21_bs0.02
g177,0.03,1,7,42,0.02,275.937456,3.4,31.7148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw1_cd7_dl42_bs0.02
g213,0.03,2,14,42,0.02,275.787456,4.3,29.4148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw2_cd14_dl42_bs0.02
g133,0.02,1,14,63,0.0,275.737456,2.2,31.5148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd14_dl63_bs0.00
g039,0.0,2,7,21,0.02,275.437456,2.8,32.6148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw2_cd7_dl21_bs0.02
g015,0.0,1,7,42,0.02,275.437456,2.7,33.9148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw1_cd7_dl42_bs0.02
g051,0.0,2,14,42,0.02,275.287456,3.6,31.6148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw2_cd14_dl42_bs0.02
g076,0.01,1,14,42,0.0,274.437456,2.2,33.7148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd14_dl42_bs0.00
g088,0.01,2,0,63,0.0,274.137456,2.4,33.4148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd0_dl63_bs0.00
g182,0.03,1,14,21,0.01,273.937456,2.6,31.5148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw1_cd14_dl21_bs0.01
g205,0.03,2,7,63,0.0,273.887456,3.1,31.2148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw2_cd7_dl63_bs0.00
g170,0.03,1,0,63,0.01,273.637456,2.7,32.5148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw1_cd0_dl63_bs0.01
g195,0.03,2,0,42,0.02,273.437456,3.6,30.4148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw2_cd0_dl42_bs0.02
g033,0.0,2,0,42,0.02,272.937456,2.9,32.6148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw2_cd0_dl42_bs0.02
g180,0.03,1,7,63,0.02,272.737456,3.4,31.7148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw1_cd7_dl63_bs0.02
g216,0.03,2,14,63,0.02,272.587456,4.3,29.4148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw2_cd14_dl63_bs0.02
g018,0.0,1,7,63,0.02,272.237456,2.7,33.9148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw1_cd7_dl63_bs0.02
g054,0.0,2,14,63,0.02,272.087456,3.6,31.6148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw2_cd14_dl63_bs0.02
g011,0.0,1,7,21,0.01,271.337456,1.9,34.7148,0.5,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw1_cd7_dl21_bs0.01
g079,0.01,1,14,63,0.0,271.237456,2.2,33.7148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd14_dl63_bs0.00
g047,0.0,2,14,21,0.01,271.187456,2.8,32.4148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw2_cd14_dl21_bs0.01
g186,0.03,1,14,42,0.02,270.537456,3.4,30.7148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw1_cd14_dl42_bs0.02
g118,0.02,1,7,21,0.0,270.337456,1.4,32.5148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd7_dl21_bs0.00
g198,0.03,2,0,63,0.02,270.237456,3.6,30.4148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw2_cd0_dl63_bs0.02
g154,0.02,2,14,21,0.0,270.187456,2.3,30.2148,1.5,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd14_dl21_bs0.00
g024,0.0,1,14,42,0.02,270.037456,2.7,32.9148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw1_cd14_dl42_bs0.02
g036,0.0,2,0,63,0.02,269.737456,2.9,32.6148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw2_cd0_dl63_bs0.02
g057,0.01,1,0,21,0.02,269.687456,1.9,33.9148,0.5,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd0_dl21_bs0.02
g040,0.0,2,7,42,0.0,269.087456,2.4,33.4148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw2_cd7_dl42_bs0.00
g029,0.0,2,0,21,0.01,268.837456,2.1,33.4148,0.5,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw2_cd0_dl21_bs0.01
g005,0.0,1,0,42,0.01,268.837456,2.0,34.7148,0.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw1_cd0_dl42_bs0.01
g136,0.02,2,0,21,0.0,267.837456,1.6,31.2148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd0_dl21_bs0.00
g112,0.02,1,0,42,0.0,267.837456,1.5,32.5148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd0_dl42_bs0.00
g189,0.03,1,14,63,0.02,267.337456,3.4,30.7148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw1_cd14_dl63_bs0.02
g027,0.0,1,14,63,0.02,266.837456,2.7,32.9148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw1_cd14_dl63_bs0.02
g111,0.02,1,0,21,0.02,266.687456,1.9,31.7148,0.5,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd0_dl21_bs0.02
g020,0.0,1,14,21,0.01,265.937456,1.9,33.7148,0.5,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw1_cd14_dl21_bs0.01
g043,0.0,2,7,63,0.0,265.887456,2.4,33.4148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw2_cd7_dl63_bs0.00
g064,0.01,1,7,21,0.0,265.837456,1.4,34.7148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd7_dl21_bs0.00
g100,0.01,2,14,21,0.0,265.687456,2.3,32.4148,1.5,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd14_dl21_bs0.00
g008,0.0,1,0,63,0.01,265.637456,2.0,34.7148,0.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.00_pw1_cd0_dl63_bs0.01
g127,0.02,1,14,21,0.0,264.937456,1.4,31.5148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd14_dl21_bs0.00
g115,0.02,1,0,63,0.0,264.637456,1.5,32.5148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd0_dl63_bs0.00
g082,0.01,2,0,21,0.0,263.337456,1.6,33.4148,1.0,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd0_dl21_bs0.00
g058,0.01,1,0,42,0.0,263.337456,1.5,34.7148,1.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd0_dl42_bs0.00
